onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
839.4974083	1.206764033	1	1	1	3	5	33	1	1
840.7040455	1.199978433	1	2	1	3	5	33	1	2
841.9039202	1.199943833	1	3	1	3	5	33	1	3
843.1037486	1.200015733	1	4	1	3	5	33	1	4
844.3047021	1.199631133	1	5	1	3	5	33	1	5
845.5035251	1.208764533	1	6	1	3	5	33	1	6
846.7115578	1.200003933	1	7	1	3	5	33	1	7
847.9115042	1.199825233	1	8	1	3	5	33	1	8
849.1113947	1.199803133	1	9	1	3	5	33	1	9
850.3110999	1.208278433	1	10	1	3	5	33	1	10
851.5192684	1.199974733	1	11	1	3	5	33	1	11
852.7191524	1.199950733	1	12	1	3	5	33	1	12
853.9190081	1.200413933	1	13	1	3	5	33	1	13
855.1191724	1.199608333	1	14	1	3	5	33	1	14
856.3187168	1.199915433	1	15	1	3	5	33	1	15
857.5185509	1.199916233	1	16	1	3	5	33	1	16
858.7958996	1.197366633	1	17	1	1	1	1	2	1
859.993268	1.199914833	1	18	1	2	1	17	2	2
861.1931284	1.199852733	1	19	1	1	1	2	2	3
862.3929974	1.199928633	1	20	1	2	1	18	2	4
863.5928595	1.199830333	1	21	1	1	1	3	2	5
864.7926754	1.199931233	1	22	1	2	1	19	2	6
865.9925252	1.199941633	1	23	1	1	1	4	2	7
867.1923774	1.199911033	1	24	1	2	1	20	2	8
868.3924477	1.199669233	1	25	1	1	1	5	2	9
869.592109	1.199948233	1	26	1	2	1	21	2	10
870.7919629	1.199833933	1	27	1	1	1	6	2	11
871.9917951	1.199987933	1	28	1	2	1	22	2	12
873.1916898	1.199889133	1	29	1	1	1	7	2	13
874.3915158	1.199916833	1	30	1	2	1	23	2	14
875.5913432	1.199903533	1	31	1	1	1	8	2	15
876.7912404	1.199949233	1	32	1	2	1	24	2	16
877.9911142	1.199899133	1	33	1	1	1	9	2	17
879.1909438	1.199913133	1	34	1	2	1	25	2	18
880.3907641	1.200399933	1	35	1	1	1	10	2	19
881.5911347	1.199438033	1	36	1	2	1	26	2	20
882.7904733	1.199870133	1	37	1	1	1	11	2	21
883.9903461	1.199959133	1	38	1	2	1	27	2	22
885.1902185	1.199902533	1	39	1	1	1	12	2	23
886.3900714	1.199942633	1	40	1	2	1	28	2	24
887.5905346	1.199282433	1	41	1	1	1	13	2	25
888.7897809	1.199962133	1	42	1	2	1	29	2	26
889.9896491	1.199894833	1	43	1	1	1	14	2	27
891.1895005	1.199956933	1	44	1	2	1	30	2	28
892.3893496	1.199871133	1	45	1	1	1	15	2	29
893.5892103	1.199940333	1	46	1	2	1	31	2	30
894.7890544	1.199937833	1	47	1	1	1	16	2	31
895.9892996	1.199576233	1	48	1	2	1	32	2	32
897.188736	1.199963133	1	49	1	3	5	33	3	1
898.388608	1.199942733	1	50	1	3	5	33	3	2
899.588462	1.199946733	1	51	1	3	5	33	3	3
900.78832	1.199943433	1	52	1	3	5	33	3	4
901.9881753	1.199976133	1	53	1	3	5	33	3	5
903.1880664	1.199908333	1	54	1	3	5	33	3	6
904.3878988	1.199927133	1	55	1	3	5	33	3	7
905.5877347	1.199951633	1	56	1	3	5	33	3	8
906.7876202	1.199907333	1	57	1	3	5	33	3	9
907.987472	1.199921133	1	58	1	3	5	33	3	10
909.1873241	1.199900933	1	59	1	3	5	33	3	11
910.3871455	1.199962533	1	60	1	3	5	33	3	12
911.587	1.199943833	1	61	1	3	5	33	3	13
912.7868655	1.199942433	1	62	1	3	5	33	3	14
913.9867114	1.199958833	1	63	1	3	5	33	3	15
915.1865825	1.199946433	1	64	1	3	5	33	3	16
916.3864325	1.199899733	1	65	1	1	3	1	4	1
917.5862703	1.199965733	1	66	1	2	3	17	4	2
918.7861505	1.199847033	1	67	1	1	3	2	4	3
919.9859834	1.199966133	1	68	1	2	3	18	4	4
921.1858482	1.208289033	1	69	1	1	3	3	4	5
922.3940314	1.199941033	1	70	1	2	3	19	4	6
923.5938879	1.199870233	1	71	1	1	3	4	4	7
924.7937613	1.199914633	1	72	1	2	3	20	4	8
