onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
6299.79965	1.225230633	2	1	1	3	5	33	1	1
6301.025238	1.200537033	2	2	1	3	5	33	1	2
6302.22573	1.199914233	2	3	1	3	5	33	1	3
6303.425575	1.200851433	2	4	1	3	5	33	1	4
6304.636394	1.207085433	2	5	1	3	5	33	1	5
6305.842895	1.200259633	2	6	1	3	5	33	1	6
6307.043199	1.200315833	2	7	1	3	5	33	1	7
6308.243505	1.200223333	2	8	1	3	5	33	1	8
6309.443754	1.200659133	2	9	1	3	5	33	1	9
6310.644418	1.199988033	2	10	1	3	5	33	1	10
6311.844712	1.199994833	2	11	1	3	5	33	1	11
6313.044763	1.200306933	2	12	1	3	5	33	1	12
6314.24516	1.200228033	2	13	1	3	5	33	1	13
6315.445394	1.200307733	2	14	1	3	5	33	1	14
6316.64572	1.200313133	2	15	1	3	5	33	1	15
6317.846353	1.200095133	2	16	1	3	5	33	1	16
6319.063739	1.199726433	2	17	1	1	4	1	2	1
6320.263742	1.200344733	2	18	1	2	4	17	2	2
6321.464134	1.200270233	2	19	1	1	4	2	2	3
6322.664053	1.200717533	2	20	1	2	4	18	2	4
6323.864749	1.199956533	2	21	1	1	4	3	2	5
6325.064715	1.200393933	2	22	1	2	4	19	2	6
6326.265046	1.200387433	2	23	1	1	4	4	2	7
6327.465355	1.200741133	2	24	1	2	4	20	2	8
6328.665804	1.200642233	2	25	1	1	4	5	2	9
6329.866231	1.200106833	2	26	1	2	4	21	2	10
6331.066579	1.200165833	2	27	1	1	4	6	2	11
6332.266716	1.200297933	2	28	1	2	4	22	2	12
6333.466999	1.200379433	2	29	1	1	4	7	2	13
6334.667387	1.200305733	2	30	1	2	4	23	2	14
6335.86768	1.200323733	2	31	1	1	4	8	2	15
6337.068005	1.200336933	2	32	1	2	4	24	2	16
6338.268339	1.200296933	2	33	1	1	4	9	2	17
6339.468626	1.200342833	2	34	1	2	4	25	2	18
6340.668991	1.200672933	2	35	1	1	4	10	2	19
6341.869329	1.200723033	2	36	1	2	4	26	2	20
6343.069647	1.200343833	2	37	1	1	4	11	2	21
6344.269989	1.200320233	2	38	1	2	4	27	2	22
6345.470307	1.200326533	2	39	1	1	4	12	2	23
6346.670782	1.200175133	2	40	1	2	4	28	2	24
6347.871163	1.200195033	2	41	1	1	4	13	2	25
6349.071355	1.200306833	2	42	1	2	4	29	2	26
6350.271679	1.200286533	2	43	1	1	4	14	2	27
6351.471976	1.200317033	2	44	1	2	4	30	2	28
6352.672336	1.200298533	2	45	1	1	4	15	2	29
6353.872638	1.200433333	2	46	1	2	4	31	2	30
6355.072973	1.200384133	2	47	1	1	4	16	2	31
6356.273652	1.200386433	2	48	1	2	4	32	2	32
6357.482092	1.200699733	2	49	1	3	5	33	3	1
6358.682755	1.200180133	2	50	1	3	5	33	3	2
6359.882984	1.200224333	2	51	1	3	5	33	3	3
6361.083405	1.199872133	2	52	1	3	5	33	3	4
6362.28346	1.200160733	2	53	1	3	5	33	3	5
6363.483935	1.200058033	2	54	1	3	5	33	3	6
6364.683924	1.200383933	2	55	1	3	5	33	3	7
6365.884286	1.200332333	2	56	1	3	5	33	3	8
6367.084601	1.200303433	2	57	1	3	5	33	3	9
6368.28491	1.200330633	2	58	1	3	5	33	3	10
6369.485627	1.200046633	2	59	1	3	5	33	3	11
6370.685585	1.200329333	2	60	1	3	5	33	3	12
6371.885915	1.200300933	2	61	1	3	5	33	3	13
6373.086218	1.200328733	2	62	1	3	5	33	3	14
6374.28655	1.200340233	2	63	1	3	5	33	3	15
6375.486892	1.200336233	2	64	1	3	5	33	3	16
6376.687362	1.200167533	2	65	1	1	1	1	4	1
6377.887542	1.200320233	2	66	1	2	1	17	4	2
6379.087881	1.200312733	2	67	1	1	1	2	4	3
6380.288195	1.200370633	2	68	1	2	1	18	4	4
6381.488544	1.200367633	2	69	1	1	1	3	4	5
6382.688842	1.200390833	2	70	1	2	1	19	4	6
6383.889235	1.200261333	2	71	1	1	1	4	4	7
6385.089513	1.200358133	2	72	1	2	1	20	4	8
6386.289889	1.200816333	2	73	1	1	1	5	4	9
6387.490223	1.200325833	2	74	1	2	1	21	4	10
