onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
3305.158045	1.207003433	2	1	1	3	5	33	1	1
3306.364939	1.199947633	2	2	1	3	5	33	1	2
3307.564794	1.199926633	2	3	1	3	5	33	1	3
3308.764588	1.199956133	2	4	1	3	5	33	1	4
3309.965073	1.199816333	2	5	1	3	5	33	1	5
3311.164343	1.199801333	2	6	1	3	5	33	1	6
3312.364033	1.199945333	2	7	1	3	5	33	1	7
3313.563958	1.199833533	2	8	1	3	5	33	1	8
3314.763724	1.200362033	2	9	1	3	5	33	1	9
3315.963571	1.199902833	2	10	1	3	5	33	1	10
3317.163394	1.199893033	2	11	1	3	5	33	1	11
3318.363207	1.199958033	2	12	1	3	5	33	1	12
3319.563096	1.200176733	2	13	1	3	5	33	1	13
3320.762884	1.199872733	2	14	1	3	5	33	1	14
3321.962883	1.200050233	2	15	1	3	5	33	1	15
3323.162537	1.199911733	2	16	1	3	5	33	1	16
3324.379545	1.199395833	2	17	1	1	1	1	2	1
3325.578926	1.200107633	2	18	1	2	1	17	2	2
3326.778908	1.199686933	2	19	1	1	1	2	2	3
3327.978529	1.199937533	2	20	1	2	1	18	2	4
3329.178396	1.199829933	2	21	1	1	1	3	2	5
3330.378274	1.200172133	2	22	1	2	1	19	2	6
3331.578418	1.199493133	2	23	1	1	1	4	2	7
3332.777932	1.199840633	2	24	1	2	1	20	2	8
3333.977717	1.199867933	2	25	1	1	1	5	2	9
3335.177557	1.199954833	2	26	1	2	1	21	2	10
3336.377438	1.200086933	2	27	1	1	1	6	2	11
3337.577594	1.199486833	2	28	1	2	1	22	2	12
3338.777375	1.199531233	2	29	1	1	1	7	2	13
3339.976887	1.199885333	2	30	1	2	1	23	2	14
3341.17671	1.199842733	2	31	1	1	1	8	2	15
3342.376542	1.199899833	2	32	1	2	1	24	2	16
3343.57643	1.199788833	2	33	1	1	1	9	2	17
3344.776223	1.199938333	2	34	1	2	1	25	2	18
3345.976034	1.199896033	2	35	1	1	1	10	2	19
3347.175925	1.199847933	2	36	1	2	1	26	2	20
3348.375705	1.199922933	2	37	1	1	1	11	2	21
3349.57558	1.199833333	2	38	1	2	1	27	2	22
3350.775323	1.199906833	2	39	1	1	1	12	2	23
3351.975166	1.199893133	2	40	1	2	1	28	2	24
3353.174997	1.199842733	2	41	1	1	1	13	2	25
3354.374848	1.199907233	2	42	1	2	1	29	2	26
3355.574694	1.199889733	2	43	1	1	1	14	2	27
3356.774514	1.199894533	2	44	1	2	1	30	2	28
3357.974337	1.199909533	2	45	1	1	1	15	2	29
3359.174518	1.199537633	2	46	1	2	1	31	2	30
3360.373977	1.200287833	2	47	1	1	1	16	2	31
3361.574228	1.199530133	2	48	1	2	1	32	2	32
3362.773912	1.199648333	2	49	1	3	5	33	3	1
3363.973574	1.199837733	2	50	1	3	5	33	3	2
3365.173342	1.200252633	2	51	1	3	5	33	3	3
3366.373543	1.199520533	2	52	1	3	5	33	3	4
3367.572988	1.199921933	2	53	1	3	5	33	3	5
3368.772851	1.199886933	2	54	1	3	5	33	3	6
3369.973076	1.199510233	2	55	1	3	5	33	3	7
3371.172503	1.199897633	2	56	1	3	5	33	3	8
3372.372381	1.200260833	2	57	1	3	5	33	3	9
3373.572542	1.199499033	2	58	1	3	5	33	3	10
3374.771992	1.199893833	2	59	1	3	5	33	3	11
3375.9718	1.200210533	2	60	1	3	5	33	3	12
3377.171904	1.199626333	2	61	1	3	5	33	3	13
3378.371496	1.200440033	2	62	1	3	5	33	3	14
3379.571695	1.199531033	2	63	1	3	5	33	3	15
3380.771167	1.199905933	2	64	1	3	5	33	3	16
3381.970979	1.199810433	2	65	1	1	3	1	4	1
3383.171248	1.199465133	2	66	1	2	3	17	4	2
3384.370649	1.199807933	2	67	1	1	3	2	4	3
3385.570444	1.199914533	2	68	1	2	3	18	4	4
3386.770317	1.199813833	2	69	1	1	3	3	4	5
3387.97012	1.199911033	2	70	1	2	3	19	4	6
3389.169973	1.199873233	2	71	1	1	3	4	4	7
3390.369777	1.199918133	2	72	1	2	3	20	4	8
3391.569637	1.199850233	2	73	1	1	3	5	4	9
3392.769463	1.200291133	2	74	1	2	3	21	4	10
3393.96962	1.199907433	2	75	1	1	3	6	4	11
3395.169353	1.199662133	2	76	1	2	3	22	4	12
3396.368949	1.199951033	2	77	1	1	3	7	4	13
3397.568816	1.200051433	2	78	1	2	3	23	4	14
3398.768776	1.199689933	2	79	1	1	3	8	4	15
3399.968503	1.199810733	2	80	1	2	3	24	4	16
3401.168252	1.199911633	2	81	1	1	3	9	4	17
3402.368106	1.199885933	2	82	1	2	3	25	4	18
3403.567917	1.200143333	2	83	1	1	3	10	4	19
3404.768123	1.199548133	2	84	1	2	3	26	4	20
3405.967575	1.199868433	2	85	1	1	3	11	4	21
3407.167438	1.199902733	2	86	1	2	3	27	4	22
3408.367272	1.199795733	2	87	1	1	3	12	4	23
3409.567069	1.199911233	2	88	1	2	3	28	4	24
3410.767393	1.199347833	2	89	1	1	3	13	4	25
3411.966732	1.200023833	2	90	1	2	3	29	4	26
3413.166688	1.199749933	2	91	1	1	3	14	4	27
3414.366535	1.199793733	2	92	1	2	3	30	4	28
3415.566244	1.199901133	2	93	1	1	3	15	4	29
3416.766073	1.199905733	2	94	1	2	3	31	4	30
3417.965911	1.199896433	2	95	1	1	3	16	4	31
3419.165732	1.199914633	2	96	1	2	3	32	4	32
3420.365584	1.200466233	2	97	1	3	5	33	5	1
