onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
4544.511234	1.199905033	1	1	1	3	5	33	1	1
4545.711014	1.201026833	1	2	1	3	5	33	1	2
4546.911953	1.200393133	1	3	1	3	5	33	1	3
4548.112303	1.199893033	1	4	1	3	5	33	1	4
4549.312779	1.200401533	1	5	1	3	5	33	1	5
4550.512345	1.200326333	1	6	1	3	5	33	1	6
4551.712549	1.200460033	1	7	1	3	5	33	1	7
4552.913028	1.200143433	1	8	1	3	5	33	1	8
4554.113211	1.200301233	1	9	1	3	5	33	1	9
4555.3135	1.200317933	1	10	1	3	5	33	1	10
4556.513833	1.200322433	1	11	1	3	5	33	1	11
4557.714157	1.200310233	1	12	1	3	5	33	1	12
4558.914467	1.200334433	1	13	1	3	5	33	1	13
4560.114804	1.200307633	1	14	1	3	5	33	1	14
4561.315111	1.200322333	1	15	1	3	5	33	1	15
4562.515448	1.200377033	1	16	1	3	5	33	1	16
4563.732992	1.199763033	1	17	1	1	1	1	2	1
4564.93276	1.200361633	1	18	1	2	1	17	2	2
4566.133155	1.200333833	1	19	1	1	1	2	2	3
4567.333418	1.200296533	1	20	1	2	1	18	2	4
4568.53373	1.200321233	1	21	1	1	1	3	2	5
4569.734031	1.200396333	1	22	1	2	1	19	2	6
4570.934358	1.200348733	1	23	1	1	1	4	2	7
4572.134683	1.200332933	1	24	1	2	1	20	2	8
4573.335024	1.200304933	1	25	1	1	1	5	2	9
4574.535344	1.200308733	1	26	1	2	1	21	2	10
4575.735667	1.200306933	1	27	1	1	1	6	2	11
4576.935994	1.200289033	1	28	1	2	1	22	2	12
4578.136353	1.200264533	1	29	1	1	1	7	2	13
4579.33662	1.200324633	1	30	1	2	1	23	2	14
4580.536943	1.200322333	1	31	1	1	1	8	2	15
4581.737263	1.200324533	1	32	1	2	1	24	2	16
4582.937587	1.200325933	1	33	1	1	1	9	2	17
4584.1379	1.200322333	1	34	1	2	1	25	2	18
4585.338236	1.200324933	1	35	1	1	1	10	2	19
4586.538559	1.200891733	1	36	1	2	1	26	2	20
4587.738927	1.200343533	1	37	1	1	1	11	2	21
4588.939209	1.200333733	1	38	1	2	1	27	2	22
4590.139549	1.200317233	1	39	1	1	1	12	2	23
4591.339851	1.200323133	1	40	1	2	1	28	2	24
4592.540175	1.200786633	1	41	1	1	1	13	2	25
4593.740574	1.200262733	1	42	1	2	1	29	2	26
4594.940831	1.200393133	1	43	1	1	1	14	2	27
4596.141143	1.200339833	1	44	1	2	1	30	2	28
4597.341468	1.200343433	1	45	1	1	1	15	2	29
4598.5418	1.200323333	1	46	1	2	1	31	2	30
4599.742123	1.200324033	1	47	1	1	1	16	2	31
4600.942439	1.200319833	1	48	1	2	1	32	2	32
4602.151126	1.200294333	1	49	1	3	5	33	3	1
4603.351479	1.200963133	1	50	1	3	5	33	3	2
4604.551729	1.200330633	1	51	1	3	5	33	3	3
