onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
815.3403839	1.198696433	2	1	1	3	5	33	1	1
816.5389959	1.198835333	2	2	1	3	5	33	1	2
817.7378112	1.198926333	2	3	1	3	5	33	1	3
818.9366344	1.198826533	2	4	1	3	5	33	1	4
820.1361585	1.198849633	2	5	1	3	5	33	1	5
821.3342933	1.198791433	2	6	1	3	5	33	1	6
822.5329299	1.198801633	2	7	1	3	5	33	1	7
823.7317224	1.198911333	2	8	1	3	5	33	1	8
824.9304919	1.198855733	2	9	1	3	5	33	1	9
826.1292696	1.198921933	2	10	1	3	5	33	1	10
827.3280907	1.198845533	2	11	1	3	5	33	1	11
828.5268649	1.198971033	2	12	1	3	5	33	1	12
829.725729	1.198825133	2	13	1	3	5	33	1	13
830.9244802	1.198841533	2	14	1	3	5	33	1	14
832.1232583	1.198902433	2	15	1	3	5	33	1	15
833.3221203	1.198805633	2	16	1	3	5	33	1	16
834.5381493	1.198290633	2	17	1	1	2	1	2	1
835.7362584	1.198924933	2	18	1	2	2	17	2	2
836.9351157	1.198770333	2	19	1	1	2	2	2	3
838.1338765	1.198895833	2	20	1	2	2	18	2	4
839.3326755	1.198794433	2	21	1	1	2	3	2	5
840.5315542	1.198825233	2	22	1	2	2	19	2	6
841.7302787	1.198855833	2	23	1	1	2	4	2	7
842.9290184	1.198955533	2	24	1	2	2	20	2	8
844.1278948	1.198763433	2	25	1	1	2	5	2	9
845.3266877	1.198866933	2	26	1	2	2	21	2	10
846.5255548	1.198696533	2	27	1	1	2	6	2	11
847.7243018	1.198821933	2	28	1	2	2	22	2	12
848.9229878	1.198967633	2	29	1	1	2	7	2	13
850.121865	1.198892833	2	30	1	2	2	23	2	14
851.3206699	1.198888733	2	31	1	1	2	8	2	15
852.5194647	1.198799633	2	32	1	2	2	24	2	16
853.7182154	1.198891233	2	33	1	1	2	9	2	17
854.9171105	1.198786433	2	34	1	2	2	25	2	18
856.1158511	1.198724233	2	35	1	1	2	10	2	19
857.3146306	1.198869233	2	36	1	2	2	26	2	20
858.5134208	1.198884433	2	37	1	1	2	11	2	21
859.7121678	1.198959433	2	38	1	2	2	27	2	22
860.9110173	1.198899133	2	39	1	1	2	12	2	23
862.1098532	1.198936433	2	40	1	2	2	28	2	24
863.308742	1.198742833	2	41	1	1	2	13	2	25
864.5074722	1.198798233	2	42	1	2	2	29	2	26
865.706248	1.198765433	2	43	1	1	2	14	2	27
866.9050355	1.198851533	2	44	1	2	2	30	2	28
868.1037649	1.198847533	2	45	1	1	2	15	2	29
869.3026389	1.198862333	2	46	1	2	2	31	2	30
870.5014162	1.198750833	2	47	1	1	2	16	2	31
871.7002063	1.198880333	2	48	1	2	2	32	2	32
872.8990244	1.198812433	2	49	1	3	5	33	3	1
874.0978558	1.198787133	2	50	1	3	5	33	3	2
875.2966263	1.198807033	2	51	1	3	5	33	3	3
876.4954095	1.198849533	2	52	1	3	5	33	3	4
877.6941965	1.198806233	2	53	1	3	5	33	3	5
878.8930147	1.198810933	2	54	1	3	5	33	3	6
880.0917656	1.198907433	2	55	1	3	5	33	3	7
881.2905644	1.198984533	2	56	1	3	5	33	3	8
882.4893682	1.198900033	2	57	1	3	5	33	3	9
883.6881935	1.198828433	2	58	1	3	5	33	3	10
884.8869907	1.198821233	2	59	1	3	5	33	3	11
886.0857544	1.198871433	2	60	1	3	5	33	3	12
887.2845002	1.198932833	2	61	1	3	5	33	3	13
888.4833359	1.198920733	2	62	1	3	5	33	3	14
889.6821561	1.198895233	2	63	1	3	5	33	3	15
890.8809528	1.198840433	2	64	1	3	5	33	3	16
892.0797348	1.198839233	2	65	1	1	1	1	4	1
893.2785218	1.198873533	2	66	1	2	1	17	4	2
894.4773168	1.198873833	2	67	1	1	1	2	4	3
895.6761255	1.198863833	2	68	1	2	1	18	4	4
896.8749218	1.198760433	2	69	1	1	1	3	4	5
898.0737171	1.198846933	2	70	1	2	1	19	4	6
899.272517	1.198840733	2	71	1	1	1	4	4	7
900.4713446	1.198879233	2	72	1	2	1	20	4	8
901.6701481	1.198824633	2	73	1	1	1	5	4	9
902.868916	1.198792533	2	74	1	2	1	21	4	10
904.0677162	1.198857533	2	75	1	1	1	6	4	11
905.266502	1.198921733	2	76	1	2	1	22	4	12
906.4653759	1.198815833	2	77	1	1	1	7	4	13
907.6641215	1.198861333	2	78	1	2	1	23	4	14
908.8629249	1.198783133	2	79	1	1	1	8	4	15
910.0616933	1.198977233	2	80	1	2	1	24	4	16
911.2605742	1.198783833	2	81	1	1	1	9	4	17
912.459259	1.198927033	2	82	1	2	1	25	4	18
913.6580956	1.198877233	2	83	1	1	1	10	4	19
914.8569628	1.198760233	2	84	1	2	1	26	4	20
916.0557615	1.198781733	2	85	1	1	1	11	4	21
917.2544765	1.198944833	2	86	1	2	1	27	4	22
918.4533326	1.198818133	2	87	1	1	1	12	4	23
919.6521218	1.198861233	2	88	1	2	1	28	4	24
920.850909	1.198779533	2	89	1	1	1	13	4	25
922.0496696	1.198850133	2	90	1	2	1	29	4	26
923.2485208	1.198812133	2	91	1	1	1	14	4	27
924.4473173	1.198868933	2	92	1	2	1	30	4	28
925.6461137	1.198812633	2	93	1	1	1	15	4	29
926.8449138	1.198796833	2	94	1	2	1	31	4	30
928.0436841	1.198777733	2	95	1	1	1	16	4	31
929.2425327	1.198833133	2	96	1	2	1	32	4	32
930.44122	1.198906433	2	97	1	3	5	33	5	1
931.6400226	1.198874333	2	98	1	3	5	33	5	2
932.8388475	1.198890333	2	99	1	3	5	33	5	3
934.0377025	1.198795933	2	100	1	3	5	33	5	4
935.2364129	1.198866333	2	101	1	3	5	33	5	5
936.4352378	1.198876633	2	102	1	3	5	33	5	6
937.6339979	1.198884933	2	103	1	3	5	33	5	7
