onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
4149.036389	1.198331933	1	1	1	3	5	33	1	1
4150.234707	1.198932133	1	2	1	3	5	33	1	2
4151.433444	1.198882833	1	3	1	3	5	33	1	3
4152.632324	1.198847833	1	4	1	3	5	33	1	4
4153.831802	1.198835833	1	5	1	3	5	33	1	5
4155.029928	1.198766733	1	6	1	3	5	33	1	6
4156.228537	1.198907833	1	7	1	3	5	33	1	7
4157.427403	1.198929733	1	8	1	3	5	33	1	8
4158.626241	1.198715233	1	9	1	3	5	33	1	9
4159.824972	1.198845633	1	10	1	3	5	33	1	10
4161.023726	1.198917133	1	11	1	3	5	33	1	11
4162.222532	1.198872033	1	12	1	3	5	33	1	12
4163.421381	1.198842233	1	13	1	3	5	33	1	13
4164.62017	1.198816633	1	14	1	3	5	33	1	14
4165.818957	1.198858833	1	15	1	3	5	33	1	15
4167.017742	1.198828333	1	16	1	3	5	33	1	16
4168.233816	1.198218833	1	17	1	1	3	1	2	1
4169.431981	1.198881233	1	18	1	2	3	17	2	2
4170.630748	1.198825533	1	19	1	1	3	2	2	3
4171.829547	1.198876833	1	20	1	2	3	18	2	4
4173.028347	1.198839633	1	21	1	1	3	3	2	5
4174.227145	1.198901833	1	22	1	2	3	19	2	6
4175.425945	1.198849133	1	23	1	1	3	4	2	7
4176.624732	1.198863033	1	24	1	2	3	20	2	8
4177.8236	1.198783533	1	25	1	1	3	5	2	9
4179.022395	1.198839933	1	26	1	2	3	21	2	10
4180.221136	1.198869533	1	27	1	1	3	6	2	11
4181.41997	1.198828333	1	28	1	2	3	22	2	12
4182.618831	1.198727633	1	29	1	1	3	7	2	13
4183.81753	1.198912633	1	30	1	2	3	23	2	14
4185.016296	1.198832933	1	31	1	1	3	8	2	15
4186.21511	1.198937333	1	32	1	2	3	24	2	16
4187.413917	1.198809733	1	33	1	1	3	9	2	17
4188.612712	1.198935433	1	34	1	2	3	25	2	18
4189.811507	1.198805533	1	35	1	1	3	10	2	19
4191.010263	1.198942433	1	36	1	2	3	26	2	20
4192.209165	1.198801033	1	37	1	1	3	11	2	21
4193.407936	1.198823333	1	38	1	2	3	27	2	22
4194.606708	1.198914833	1	39	1	1	3	12	2	23
4195.805535	1.198834533	1	40	1	2	3	28	2	24
4197.004297	1.198839933	1	41	1	1	3	13	2	25
4198.203091	1.198896733	1	42	1	2	3	29	2	26
4199.401912	1.198805633	1	43	1	1	3	14	2	27
4200.600688	1.198907933	1	44	1	2	3	30	2	28
4201.799485	1.198855033	1	45	1	1	3	15	2	29
4202.998284	1.198900733	1	46	1	2	3	31	2	30
4204.197079	1.198813533	1	47	1	1	3	16	2	31
4205.395863	1.198951633	1	48	1	2	3	32	2	32
4206.594655	1.198887333	1	49	1	3	5	33	3	1
4207.793453	1.198885033	1	50	1	3	5	33	3	2
4208.9923	1.198821633	1	51	1	3	5	33	3	3
4210.191007	1.198924333	1	52	1	3	5	33	3	4
4211.389842	1.198893933	1	53	1	3	5	33	3	5
4212.588668	1.198908633	1	54	1	3	5	33	3	6
4213.787441	1.198929933	1	55	1	3	5	33	3	7
4214.986314	1.198837333	1	56	1	3	5	33	3	8
4216.185015	1.198891633	1	57	1	3	5	33	3	9
4217.383899	1.198814233	1	58	1	3	5	33	3	10
4218.582679	1.198826233	1	59	1	3	5	33	3	11
4219.781467	1.198837133	1	60	1	3	5	33	3	12
4220.980279	1.198806333	1	61	1	3	5	33	3	13
4222.179063	1.198821133	1	62	1	3	5	33	3	14
4223.377791	1.198899733	1	63	1	3	5	33	3	15
4224.576652	1.198886033	1	64	1	3	5	33	3	16
4225.775445	1.198768433	1	65	1	1	2	1	4	1
4226.974243	1.198819233	1	66	1	2	2	17	4	2
4228.173033	1.198795733	1	67	1	1	2	2	4	3
4229.371766	1.198908333	1	68	1	2	2	18	4	4
4230.570583	1.198855733	1	69	1	1	2	3	4	5
4231.769419	1.198842633	1	70	1	2	2	19	4	6
4232.96823	1.198818433	1	71	1	1	2	4	4	7
4234.167062	1.198800033	1	72	1	2	2	20	4	8
4235.36579	1.198767033	1	73	1	1	2	5	4	9
4236.564587	1.198908733	1	74	1	2	2	21	4	10
4237.763382	1.198872933	1	75	1	1	2	6	4	11
4238.962165	1.198857533	1	76	1	2	2	22	4	12
4240.160981	1.198786033	1	77	1	1	2	7	4	13
4241.359787	1.198857333	1	78	1	2	2	23	4	14
4242.558555	1.198828533	1	79	1	1	2	8	4	15
4243.757409	1.198863833	1	80	1	2	2	24	4	16
4244.956205	1.198830833	1	81	1	1	2	9	4	17
4246.155025	1.198823233	1	82	1	2	2	25	4	18
4247.353815	1.198764533	1	83	1	1	2	10	4	19
4248.552538	1.198889433	1	84	1	2	2	26	4	20
4249.751363	1.198799633	1	85	1	1	2	11	4	21
4250.950156	1.198813733	1	86	1	2	2	27	4	22
4252.148952	1.198804433	1	87	1	1	2	12	4	23
4253.347795	1.198838633	1	88	1	2	2	28	4	24
4254.546529	1.198847433	1	89	1	1	2	13	4	25
4255.74535	1.198908833	1	90	1	2	2	29	4	26
4256.944193	1.198753433	1	91	1	1	2	14	4	27
4258.142936	1.198875133	1	92	1	2	2	30	4	28
4259.341795	1.198784633	1	93	1	1	2	15	4	29
4260.540511	1.198911933	1	94	1	2	2	31	4	30
4261.73933	1.198815233	1	95	1	1	2	16	4	31
4262.938133	1.198848033	1	96	1	2	2	32	4	32
4264.136909	1.198819033	1	97	1	3	5	33	5	1
4265.335762	1.198832333	1	98	1	3	5	33	5	2
4266.534505	1.198864033	1	99	1	3	5	33	5	3
4267.733257	1.198955933	1	100	1	3	5	33	5	4
4268.932147	1.198816333	1	101	1	3	5	33	5	5
4270.130928	1.198856433	1	102	1	3	5	33	5	6
4271.329698	1.198859933	1	103	1	3	5	33	5	7
4272.528549	1.198797733	1	104	1	3	5	33	5	8
4273.727255	1.198888133	1	105	1	3	5	33	5	9
4274.926138	1.198837833	1	106	1	3	5	33	5	10
4276.124906	1.198905533	1	107	1	3	5	33	5	11
4277.32374	1.198816133	1	108	1	3	5	33	5	12
4278.522495	1.198846533	1	109	1	3	5	33	5	13
4279.721294	1.198881533	1	110	1	3	5	33	5	14
4280.920075	1.198873033	1	111	1	3	5	33	5	15
4282.118892	1.198862633	1	112	1	3	5	33	5	16
4283.326215	1.198638033	1	113	1	1	1	1	6	1
4284.524837	1.198811933	1	114	1	2	1	17	6	2
4285.723625	1.198767533	1	115	1	1	1	2	6	3
4286.922435	1.198790233	1	116	1	2	1	18	6	4
4288.121209	1.198768733	1	117	1	1	1	3	6	5
4289.319981	1.198853233	1	118	1	2	1	19	6	6
4290.518785	1.198866933	1	119	1	1	1	4	6	7
4291.717606	1.198759033	1	120	1	2	1	20	6	8
4292.916424	1.198745433	1	121	1	1	1	5	6	9
4294.115217	1.198854833	1	122	1	2	1	21	6	10
4295.313959	1.198810833	1	123	1	1	1	6	6	11
4296.512755	1.198904533	1	124	1	2	1	22	6	12
4297.71156	1.198761633	1	125	1	1	1	7	6	13
4298.910408	1.198813433	1	126	1	2	1	23	6	14
4300.109212	1.198746433	1	127	1	1	1	8	6	15
4301.307925	1.198940533	1	128	1	2	1	24	6	16
4302.506803	1.198757133	1	129	1	1	1	9	6	17
4303.705547	1.198887833	1	130	1	2	1	25	6	18
4304.904363	1.198789533	1	131	1	1	1	10	6	19
4306.103155	1.198909633	1	132	1	2	1	26	6	20
4307.301954	1.198790033	1	133	1	1	1	11	6	21
4308.500715	1.198922733	1	134	1	2	1	27	6	22
4309.699529	1.198849033	1	135	1	1	1	12	6	23
4310.898391	1.198754233	1	136	1	2	1	28	6	24
4312.097174	1.198755233	1	137	1	1	1	13	6	25
4313.295977	1.198828633	1	138	1	2	1	29	6	26
4314.49474	1.198804433	1	139	1	1	1	14	6	27
4315.693515	1.198855833	1	140	1	2	1	30	6	28
4316.89238	1.198772433	1	141	1	1	1	15	6	29
4318.091168	1.198794133	1	142	1	2	1	31	6	30
4319.289974	1.198797833	1	143	1	1	1	16	6	31
4320.488726	1.198899933	1	144	1	2	1	32	6	32
4321.687499	1.198842833	1	145	1	3	5	33	7	1
4322.886282	1.198843233	1	146	1	3	5	33	7	2
4324.085134	1.198801533	1	147	1	3	5	33	7	3
4325.283944	1.198780533	1	148	1	3	5	33	7	4
4326.482648	1.198947333	1	149	1	3	5	33	7	5
4327.681538	1.198848133	1	150	1	3	5	33	7	6
4328.880238	1.198952633	1	151	1	3	5	33	7	7
4330.079065	1.198891233	1	152	1	3	5	33	7	8
4331.277928	1.198813033	1	153	1	3	5	33	7	9
4332.47665	1.198873733	1	154	1	3	5	33	7	10
4333.675459	1.198885233	1	155	1	3	5	33	7	11
4334.874268	1.198901933	1	156	1	3	5	33	7	12
4336.073116	1.198875133	1	157	1	3	5	33	7	13
4337.27191	1.198796333	1	158	1	3	5	33	7	14
4338.470653	1.198882433	1	159	1	3	5	33	7	15
4339.669464	1.198906533	1	160	1	3	5	33	7	16
4340.868296	1.198748033	1	161	1	1	4	1	8	1
4342.067088	1.198795133	1	162	1	2	4	17	8	2
4343.265895	1.198762133	1	163	1	1	4	2	8	3
4344.464624	1.198880533	1	164	1	2	4	18	8	4
4345.663394	1.198898333	1	165	1	1	4	3	8	5
4346.862253	1.198864933	1	166	1	2	4	19	8	6
4348.061021	1.198803833	1	167	1	1	4	4	8	7
4349.259813	1.198856333	1	168	1	2	4	20	8	8
4350.458677	1.198805033	1	169	1	1	4	5	8	9
4351.657472	1.198818733	1	170	1	2	4	21	8	10
4352.856215	1.199006633	1	171	1	1	4	6	8	11
4354.055036	1.198891033	1	172	1	2	4	22	8	12
4355.253873	1.198785733	1	173	1	1	4	7	8	13
4356.452612	1.198866233	1	174	1	2	4	23	8	14
4357.651379	1.198802333	1	175	1	1	4	8	8	15
4358.850168	1.198885933	1	176	1	2	4	24	8	16
4360.048999	1.198811233	1	177	1	1	4	9	8	17
4361.247851	1.198779433	1	178	1	2	4	25	8	18
4362.446593	1.198820233	1	179	1	1	4	10	8	19
4363.645448	1.198831933	1	180	1	2	4	26	8	20
4364.844264	1.198753233	1	181	1	1	4	11	8	21
4366.043009	1.198901733	1	182	1	2	4	27	8	22
4367.241839	1.198724633	1	183	1	1	4	12	8	23
4368.440609	1.198979033	1	184	1	2	4	28	8	24
4369.63939	1.198852633	1	185	1	1	4	13	8	25
4370.838166	1.198915633	1	186	1	2	4	29	8	26
4372.036953	1.198824033	1	187	1	1	4	14	8	27
4373.235826	1.198869433	1	188	1	2	4	30	8	28
4374.434621	1.198739733	1	189	1	1	4	15	8	29
4375.633368	1.198871233	1	190	1	2	4	31	8	30
4376.832164	1.198882133	1	191	1	1	4	16	8	31
4378.03096	1.198845633	1	192	1	2	4	32	8	32
4379.229712	1.198895333	1	193	1	3	5	33	9	1
4380.428535	1.198809433	1	194	1	3	5	33	9	2
4381.627333	1.198880733	1	195	1	3	5	33	9	3
4382.826178	1.198828133	1	196	1	3	5	33	9	4
4384.02488	1.198900733	1	197	1	3	5	33	9	5
4385.223711	1.198882033	1	198	1	3	5	33	9	6
4386.422519	1.198912333	1	199	1	3	5	33	9	7
4387.621328	1.198845633	1	200	1	3	5	33	9	8
4388.820175	1.198804833	1	201	1	3	5	33	9	9
4390.018885	1.198942533	1	202	1	3	5	33	9	10
4391.217735	1.198835133	1	203	1	3	5	33	9	11
4392.416551	1.198853033	1	204	1	3	5	33	9	12
4393.615268	1.198879733	1	205	1	3	5	33	9	13
4394.814222	1.198760333	1	206	1	3	5	33	9	14
4396.012905	1.198864833	1	207	1	3	5	33	9	15
4397.211703	1.198875933	1	208	1	3	5	33	9	16
