onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
13857.77416	1.207893733	1	1	1	3	5	33	1	1
13858.98198	1.200573333	1	2	1	3	5	33	1	2
13860.18185	1.199869233	1	3	1	3	5	33	1	3
13861.38164	1.200485233	1	4	1	3	5	33	1	4
13862.58213	1.199842533	1	5	1	3	5	33	1	5
13863.78135	1.199817333	1	6	1	3	5	33	1	6
13864.98104	1.199979233	1	7	1	3	5	33	1	7
13866.18094	1.199826833	1	8	1	3	5	33	1	8
13867.38069	1.200326133	1	9	1	3	5	33	1	9
13868.58093	1.199451833	1	10	1	3	5	33	1	10
13869.78032	1.199913633	1	11	1	3	5	33	1	11
13870.98018	1.199869833	1	12	1	3	5	33	1	12
13872.17998	1.199920533	1	13	1	3	5	33	1	13
13873.37984	1.199834133	1	14	1	3	5	33	1	14
13874.57963	1.199848233	1	15	1	3	5	33	1	15
13875.77942	1.199888133	1	16	1	3	5	33	1	16
13877.02995	1.199151633	1	17	1	1	4	1	2	1
13878.22909	1.199892433	1	18	1	2	4	17	2	2
13879.42891	1.199851233	1	19	1	1	4	2	2	3
13880.62874	1.199894533	1	20	1	2	4	18	2	4
13881.82858	1.199825233	1	21	1	1	4	3	2	5
13883.0284	1.199874833	1	22	1	2	4	19	2	6
13884.22821	1.199899633	1	23	1	1	4	4	2	7
13885.42803	1.200308333	1	24	1	2	4	20	2	8
13886.62825	1.199408133	1	25	1	1	4	5	2	9
13887.82765	1.199952933	1	26	1	2	4	21	2	10
13889.02754	1.199841233	1	27	1	1	4	6	2	11
13890.22736	1.200291833	1	28	1	2	4	22	2	12
13891.42755	1.199518333	1	29	1	1	4	7	2	13
13892.627	1.199889333	1	30	1	2	4	23	2	14
13893.82681	1.199834533	1	31	1	1	4	8	2	15
13895.02661	1.199913333	1	32	1	2	4	24	2	16
13896.22646	1.199822333	1	33	1	1	4	9	2	17
13897.42627	1.199901433	1	34	1	2	4	25	2	18
13898.6261	1.199845033	1	35	1	1	4	10	2	19
13899.82594	1.199891133	1	36	1	2	4	26	2	20
13901.02576	1.199872033	1	37	1	1	4	11	2	21
13902.22562	1.199864333	1	38	1	2	4	27	2	22
13903.42541	1.199935033	1	39	1	1	4	12	2	23
13904.6253	1.199827433	1	40	1	2	4	28	2	24
13905.82506	1.199834333	1	41	1	1	4	13	2	25
13907.02487	1.199911633	1	42	1	2	4	29	2	26
13908.22469	1.199810733	1	43	1	1	4	14	2	27
13909.4245	1.200295433	1	44	1	2	4	30	2	28
13910.62466	1.199559733	1	45	1	1	4	15	2	29
13911.82421	1.199846633	1	46	1	2	4	31	2	30
13913.02398	1.199844133	1	47	1	1	4	16	2	31
13914.22381	1.199886133	1	48	1	2	4	32	2	32
13915.42362	1.200034933	1	49	1	3	5	33	3	1
13916.62343	1.199918133	1	50	1	3	5	33	3	2
13917.82326	1.199936333	1	51	1	3	5	33	3	3
13919.02309	1.199904133	1	52	1	3	5	33	3	4
13920.22293	1.199885533	1	53	1	3	5	33	3	5
13921.42274	1.200308633	1	54	1	3	5	33	3	6
13922.62298	1.199518433	1	55	1	3	5	33	3	7
13923.82242	1.200253233	1	56	1	3	5	33	3	8
13925.02261	1.199500233	1	57	1	3	5	33	3	9
13926.22206	1.199850633	1	58	1	3	5	33	3	10
13927.42184	1.200404033	1	59	1	3	5	33	3	11
13928.62216	1.199571533	1	60	1	3	5	33	3	12
13929.82166	1.199749833	1	61	1	3	5	33	3	13
13931.02134	1.199923433	1	62	1	3	5	33	3	14
13932.22118	1.199884633	1	63	1	3	5	33	3	15
13933.421	1.199897333	1	64	1	3	5	33	3	16
13934.62085	1.199794733	1	65	1	1	1	1	4	1
13935.82064	1.199908933	1	66	1	2	1	17	4	2
13937.02048	1.199858533	1	67	1	1	1	2	4	3
13938.22032	1.199839533	1	68	1	2	1	18	4	4
13939.42009	1.199983933	1	69	1	1	1	3	4	5
13940.61996	1.199878833	1	70	1	2	1	19	4	6
13941.81975	1.199827333	1	71	1	1	1	4	4	7
13943.01958	1.200346233	1	72	1	2	1	20	4	8
13944.2198	1.199474433	1	73	1	1	1	5	4	9
13945.41925	1.199898633	1	74	1	2	1	21	4	10
13946.61908	1.199807533	1	75	1	1	1	6	4	11
13947.81888	1.199884133	1	76	1	2	1	22	4	12
13949.0187	1.199837233	1	77	1	1	1	7	4	13
13950.21856	1.199871033	1	78	1	2	1	23	4	14
13951.41836	1.199830333	1	79	1	1	1	8	4	15
13952.61818	1.199881933	1	80	1	2	1	24	4	16
13953.81799	1.199844333	1	81	1	1	1	9	4	17
13955.01783	1.199919233	1	82	1	2	1	25	4	18
13956.21767	1.199829533	1	83	1	1	1	10	4	19
13957.4175	1.199876933	1	84	1	2	1	26	4	20
13958.6173	1.199837833	1	85	1	1	1	11	4	21
13959.81713	1.199875833	1	86	1	2	1	27	4	22
13961.01695	1.199845833	1	87	1	1	1	12	4	23
13962.21678	1.199896933	1	88	1	2	1	28	4	24
13963.41659	1.199847833	1	89	1	1	1	13	4	25
13964.61643	1.199904833	1	90	1	2	1	29	4	26
13965.81626	1.199832433	1	91	1	1	1	14	4	27
13967.01609	1.199897033	1	92	1	2	1	30	4	28
13968.21592	1.200235533	1	93	1	1	1	15	4	29
13969.41613	1.199496233	1	94	1	2	1	31	4	30
13970.61556	1.199849533	1	95	1	1	1	16	4	31
13971.8154	1.199885233	1	96	1	2	1	32	4	32
13973.01518	1.199886233	1	97	1	3	5	33	5	1
13974.21499	1.199932433	1	98	1	3	5	33	5	2
13975.41485	1.199870133	1	99	1	3	5	33	5	3
13976.61465	1.199934733	1	100	1	3	5	33	5	4
13977.81451	1.199877033	1	101	1	3	5	33	5	5
13979.01432	1.199928633	1	102	1	3	5	33	5	6
13980.21416	1.199870833	1	103	1	3	5	33	5	7
13981.41397	1.199906933	1	104	1	3	5	33	5	8
13982.61381	1.199993833	1	105	1	3	5	33	5	9
13983.81362	1.199903833	1	106	1	3	5	33	5	10
13985.01344	1.200497733	1	107	1	3	5	33	5	11
13986.21327	1.199893633	1	108	1	3	5	33	5	12
13987.4131	1.199887733	1	109	1	3	5	33	5	13
13988.61325	1.199663633	1	110	1	3	5	33	5	14
13989.81275	1.199888433	1	111	1	3	5	33	5	15
13991.01257	1.200065733	1	112	1	3	5	33	5	16
13992.22092	1.199648433	1	113	1	1	3	1	6	1
13993.42056	1.199891533	1	114	1	2	3	17	6	2
13994.62039	1.199828033	1	115	1	1	3	2	6	3
13995.82022	1.199902433	1	116	1	2	3	18	6	4
13997.02008	1.199781833	1	117	1	1	3	3	6	5
13998.21983	1.199883933	1	118	1	2	3	19	6	6
13999.41967	1.199846533	1	119	1	1	3	4	6	7
14000.6195	1.199908533	1	120	1	2	3	20	6	8
14001.81934	1.200167933	1	121	1	1	3	5	6	9
14003.01956	1.199826833	1	122	1	2	3	21	6	10
14004.21954	1.199277933	1	123	1	1	3	6	6	11
14005.41882	1.199873033	1	124	1	2	3	22	6	12
14006.61863	1.199829333	1	125	1	1	3	7	6	13
14007.81844	1.199913733	1	126	1	2	3	23	6	14
14009.01827	1.199841733	1	127	1	1	3	8	6	15
14010.21811	1.199883833	1	128	1	2	3	24	6	16
14011.41793	1.199831333	1	129	1	1	3	9	6	17
14012.61775	1.199893933	1	130	1	2	3	25	6	18
14013.81758	1.199834333	1	131	1	1	3	10	6	19
14015.01739	1.199903533	1	132	1	2	3	26	6	20
14016.21722	1.199823233	1	133	1	1	3	11	6	21
14017.41704	1.199909333	1	134	1	2	3	27	6	22
14018.61689	1.200254233	1	135	1	1	3	12	6	23
14019.81704	1.199556433	1	136	1	2	3	28	6	24
14021.01653	1.199840033	1	137	1	1	3	13	6	25
14022.21639	1.199874633	1	138	1	2	3	29	6	26
14023.4162	1.199820633	1	139	1	1	3	14	6	27
14024.61602	1.199895633	1	140	1	2	3	30	6	28
14025.81585	1.199812733	1	141	1	1	3	15	6	29
14027.01566	1.199874633	1	142	1	2	3	31	6	30
14028.21547	1.199873133	1	143	1	1	3	16	6	31
14029.41534	1.199901733	1	144	1	2	3	32	6	32
14030.6235	1.199856633	1	145	1	3	5	33	7	1
14031.82329	1.199903933	1	146	1	3	5	33	7	2
14033.02312	1.199893433	1	147	1	3	5	33	7	3
14034.22296	1.199880233	1	148	1	3	5	33	7	4
14035.42277	1.199881133	1	149	1	3	5	33	7	5
14036.62259	1.199892333	1	150	1	3	5	33	7	6
14037.82242	1.199868833	1	151	1	3	5	33	7	7
14039.02223	1.199897833	1	152	1	3	5	33	7	8
14040.22206	1.199907633	1	153	1	3	5	33	7	9
14041.4219	1.199877933	1	154	1	3	5	33	7	10
14042.62171	1.199923833	1	155	1	3	5	33	7	11
14043.82155	1.199879333	1	156	1	3	5	33	7	12
14045.02136	1.199908933	1	157	1	3	5	33	7	13
14046.22119	1.199868033	1	158	1	3	5	33	7	14
14047.42103	1.199910833	1	159	1	3	5	33	7	15
14048.62087	1.199883933	1	160	1	3	5	33	7	16
14049.82067	1.199836033	1	161	1	1	2	1	8	1
14051.02049	1.199887733	1	162	1	2	2	17	8	2
14052.22033	1.199796433	1	163	1	1	2	2	8	3
14053.42012	1.199911033	1	164	1	2	2	18	8	4
14054.61996	1.199848933	1	165	1	1	2	3	8	5
14055.8198	1.199889133	1	166	1	2	2	19	8	6
14057.01964	1.199809533	1	167	1	1	2	4	8	7
14058.21942	1.199917533	1	168	1	2	2	20	8	8
14059.41927	1.199818233	1	169	1	1	2	5	8	9
14060.61911	1.199852133	1	170	1	2	2	21	8	10
14061.8189	1.200029933	1	171	1	1	2	6	8	11
14063.01877	1.200253833	1	172	1	2	2	22	8	12
14064.219	1.199385633	1	173	1	1	2	7	8	13
14065.41839	1.199889133	1	174	1	2	2	23	8	14
14066.61823	1.199837133	1	175	1	1	2	8	8	15
14067.81806	1.199885433	1	176	1	2	2	24	8	16
14069.01791	1.199830433	1	177	1	1	2	9	8	17
14070.21808	1.199511233	1	178	1	2	2	25	8	18
14071.41753	1.199786633	1	179	1	1	2	10	8	19
14072.61732	1.199936933	1	180	1	2	2	26	8	20
14073.81721	1.199815533	1	181	1	1	2	11	8	21
14075.017	1.199888433	1	182	1	2	2	27	8	22
14076.21682	1.199842233	1	183	1	1	2	12	8	23
14077.41668	1.199868233	1	184	1	2	2	28	8	24
14078.61649	1.199848033	1	185	1	1	2	13	8	25
14079.81632	1.200279233	1	186	1	2	2	29	8	26
14081.01652	1.199439533	1	187	1	1	2	14	8	27
14082.21596	1.199904533	1	188	1	2	2	30	8	28
14083.4158	1.199829533	1	189	1	1	2	15	8	29
14084.61562	1.200371533	1	190	1	2	2	31	8	30
14085.81586	1.199402033	1	191	1	1	2	16	8	31
14087.01526	1.199901633	1	192	1	2	2	32	8	32
14088.21511	1.199865633	1	193	1	3	5	33	9	1
14089.41491	1.199899133	1	194	1	3	5	33	9	2
14090.61474	1.199902833	1	195	1	3	5	33	9	3
14091.81504	1.199435533	1	196	1	3	5	33	9	4
14093.01439	1.199876733	1	197	1	3	5	33	9	5
14094.2142	1.199904933	1	198	1	3	5	33	9	6
14095.41403	1.199868033	1	199	1	3	5	33	9	7
14096.61382	1.199949833	1	200	1	3	5	33	9	8
14097.8137	1.199837933	1	201	1	3	5	33	9	9
14099.01347	1.200016833	1	202	1	3	5	33	9	10
14100.21334	1.199853033	1	203	1	3	5	33	9	11
14101.41323	1.199779733	1	204	1	3	5	33	9	12
14102.61295	1.199903433	1	205	1	3	5	33	9	13
14103.81279	1.199936333	1	206	1	3	5	33	9	14
14105.01265	1.200303333	1	207	1	3	5	33	9	15
14106.21248	1.200251933	1	208	1	3	5	33	9	16
