onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
106585.8318	1.240095233	1	1	1	3	5	33	1	1
106587.0706	1.201974633	1	2	1	3	5	33	1	2
106588.271	1.201836633	1	3	1	3	5	33	1	3
106589.4714	1.201601333	1	4	1	3	5	33	1	4
106590.6728	1.201780033	1	5	1	3	5	33	1	5
106591.8723	1.202045133	1	6	1	3	5	33	1	6
106593.0725	1.202087333	1	7	1	3	5	33	1	7
106594.2732	1.201618233	1	8	1	3	5	33	1	8
106595.4733	1.201669133	1	9	1	3	5	33	1	9
106596.6737	1.201540233	1	10	1	3	5	33	1	10
106597.8741	1.201875733	1	11	1	3	5	33	1	11
106599.0745	1.201763933	1	12	1	3	5	33	1	12
106600.2749	1.201577733	1	13	1	3	5	33	1	13
106601.4755	1.201738233	1	14	1	3	5	33	1	14
106602.6757	1.201722833	1	15	1	3	5	33	1	15
106603.8762	1.201558233	1	16	1	3	5	33	1	16
106605.1026	1.200856433	1	17	1	1	3	1	2	1
106606.302	1.201721933	1	18	1	2	3	17	2	2
106607.5024	1.201515333	1	19	1	1	3	2	2	3
106608.7028	1.201963733	1	20	1	2	3	18	2	4
106609.9032	1.201749933	1	21	1	1	3	3	2	5
106611.1036	1.201624633	1	22	1	2	3	19	2	6
106612.304	1.201851633	1	23	1	1	3	4	2	7
106613.5044	1.201673133	1	24	1	2	3	20	2	8
106614.7048	1.200410133	1	25	1	1	3	5	2	9
106615.9065	1.199202933	1	26	1	2	3	21	2	10
106617.1072	1.198861833	1	27	1	1	3	6	2	11
106618.3074	1.199075533	1	28	1	2	3	22	2	12
106619.5076	1.199268133	1	29	1	1	3	7	2	13
106620.7083	1.199008933	1	30	1	2	3	23	2	14
106621.9085	1.199190433	1	31	1	1	3	8	2	15
106623.1092	1.198856433	1	32	1	2	3	24	2	16
106624.3094	1.199012733	1	33	1	1	3	9	2	17
106625.5096	1.199289433	1	34	1	2	3	25	2	18
106626.7103	1.199012333	1	35	1	1	3	10	2	19
106627.9106	1.199155333	1	36	1	2	3	26	2	20
106629.1108	1.199254633	1	37	1	1	3	11	2	21
106630.3116	1.198951733	1	38	1	2	3	27	2	22
106631.5118	1.199078333	1	39	1	1	3	12	2	23
106632.712	1.209041933	1	40	1	2	3	28	2	24
106633.9197	1.201628633	1	41	1	1	3	13	2	25
106635.1201	1.201964633	1	42	1	2	3	29	2	26
106636.3205	1.201790733	1	43	1	1	3	14	2	27
106637.5209	1.201641833	1	44	1	2	3	30	2	28
106638.7217	1.201590433	1	45	1	1	3	15	2	29
106639.9217	1.201762433	1	46	1	2	3	31	2	30
106641.1221	1.201514833	1	47	1	1	3	16	2	31
106642.3225	1.201876433	1	48	1	2	3	32	2	32
106643.5325	1.200590233	1	49	1	3	5	33	3	1
106644.7316	1.201631433	1	50	1	3	5	33	3	2
106645.9321	1.201920433	1	51	1	3	5	33	3	3
106647.1325	1.201741733	1	52	1	3	5	33	3	4
106648.3329	1.201566133	1	53	1	3	5	33	3	5
106649.5336	1.201518333	1	54	1	3	5	33	3	6
106650.7337	1.201667333	1	55	1	3	5	33	3	7
106651.9341	1.201956533	1	56	1	3	5	33	3	8
106653.1345	1.201737433	1	57	1	3	5	33	3	9
106654.3349	1.201610833	1	58	1	3	5	33	3	10
106655.5353	1.201899533	1	59	1	3	5	33	3	11
106656.7357	1.201775633	1	60	1	3	5	33	3	12
106657.9362	1.201440933	1	61	1	3	5	33	3	13
106659.1365	1.201873233	1	62	1	3	5	33	3	14
106660.3369	1.201706533	1	63	1	3	5	33	3	15
106661.5374	1.201427133	1	64	1	3	5	33	3	16
106662.7377	1.201869033	1	65	1	1	4	1	4	1
106663.9382	1.201553333	1	66	1	2	4	17	4	2
106665.1386	1.201993933	1	67	1	1	4	2	4	3
106666.339	1.201772033	1	68	1	2	4	18	4	4
106667.5394	1.201576233	1	69	1	1	4	3	4	5
106668.7398	1.201945233	1	70	1	2	4	19	4	6
106669.9402	1.201709333	1	71	1	1	4	4	4	7
106671.1406	1.201499533	1	72	1	2	4	20	4	8
106672.341	1.201826033	1	73	1	1	4	5	4	9
106673.5416	1.201477333	1	74	1	2	4	21	4	10
106674.7418	1.201945633	1	75	1	1	4	6	4	11
106675.9426	1.201386533	1	76	1	2	4	22	4	12
106677.1426	1.201542033	1	77	1	1	4	7	4	13
106678.3431	1.201878733	1	78	1	2	4	23	4	14
106679.5435	1.201721533	1	79	1	1	4	8	4	15
106680.7439	1.201490633	1	80	1	2	4	24	4	16
106681.9443	1.201778333	1	81	1	1	4	9	4	17
106683.1447	1.201700733	1	82	1	2	4	25	4	18
106684.3453	1.201374833	1	83	1	1	4	10	4	19
106685.5455	1.201900933	1	84	1	2	4	26	4	20
106686.7459	1.201774733	1	85	1	1	4	11	4	21
106687.9463	1.201546533	1	86	1	2	4	27	4	22
106689.1467	1.201913333	1	87	1	1	4	12	4	23
106690.3472	1.201728833	1	88	1	2	4	28	4	24
106691.5475	1.201571033	1	89	1	1	4	13	4	25
106692.7479	1.201832933	1	90	1	2	4	29	4	26
106693.9484	1.201609233	1	91	1	1	4	14	4	27
106695.1487	1.202004833	1	92	1	2	4	30	4	28
106696.3492	1.201798933	1	93	1	1	4	15	4	29
106697.5496	1.201580133	1	94	1	2	4	31	4	30
106698.75	1.201935733	1	95	1	1	4	16	4	31
106699.9504	1.201695133	1	96	1	2	4	32	4	32
106701.1612	1.199590033	1	97	1	3	5	33	5	1
106702.3596	1.201930333	1	98	1	3	5	33	5	2
106703.5599	1.201799733	1	99	1	3	5	33	5	3
106704.7604	1.202055433	1	100	1	3	5	33	5	4
106705.9607	1.201906533	1	101	1	3	5	33	5	5
106707.1612	1.201652833	1	102	1	3	5	33	5	6
106708.3616	1.201443233	1	103	1	3	5	33	5	7
106709.562	1.201806533	1	104	1	3	5	33	5	8
106710.7624	1.201575733	1	105	1	3	5	33	5	9
106711.9628	1.201932733	1	106	1	3	5	33	5	10
106713.1632	1.201745833	1	107	1	3	5	33	5	11
106714.3636	1.202066333	1	108	1	3	5	33	5	12
106715.564	1.201872833	1	109	1	3	5	33	5	13
106716.7644	1.201614533	1	110	1	3	5	33	5	14
106717.9649	1.201928433	1	111	1	3	5	33	5	15
106719.1653	1.202351633	1	112	1	3	5	33	5	16
106720.3827	1.201627333	1	113	1	1	1	1	6	1
106721.583	1.201523533	1	114	1	2	1	17	6	2
106722.7831	1.202088833	1	115	1	1	1	2	6	3
106723.9835	1.201886633	1	116	1	2	1	18	6	4
