onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_direction	sequence_num	sequence_trial
43358.70363	15.89051978	1	1	1	3	5	33	1	1
43374.77923	15.02238708	1	2	1	3	5	33	1	2
43390.01518	15.97556483	1	3	1	3	5	33	1	3
43406.19571	15.32752988	1	4	1	3	5	33	1	4
43421.73366	14.88676887	1	5	1	3	5	33	1	5
43436.82057	15.16141188	1	6	1	3	5	33	1	6
43452.20124	14.86247254	1	7	1	3	5	33	1	7
43467.25884	14.6593969	1	8	1	3	5	33	1	8
43482.11431	14.83462851	1	9	1	3	5	33	1	9
43497.12829	14.91855041	1	10	1	3	5	33	1	10
43512.23826	14.55805359	1	11	1	3	5	33	1	11
43526.9764	14.56737705	1	12	1	3	5	33	1	12
43541.72533	14.48235055	1	13	1	3	5	33	1	13
43556.39085	14.36670788	1	14	1	3	5	33	1	14
43570.96374	14.42862967	1	15	1	3	5	33	1	15
43585.60733	14.26440941	1	16	1	3	5	33	1	16
43600.10931	14.51485481	1	17	1	1	2	1	2	1
43614.8111	14.49846699	1	18	1	2	2	17	2	2
43629.48998	14.02980928	1	19	1	1	2	2	2	3
43643.74209	14.03386727	1	20	1	2	2	18	2	4
43657.97024	14.0730418	1	21	1	1	2	3	2	5
43672.23513	14.2298381	1	22	1	2	2	19	2	6
43686.64278	14.1710408	1	23	1	1	2	4	2	7
43700.99759	14.51617152	1	24	1	2	2	20	2	8
43715.68771	14.06618314	1	25	1	1	2	5	2	9
43729.92347	14.15792929	1	26	1	2	2	21	2	10
43744.25415	14.1675409	1	27	1	1	2	6	2	11
43758.61381	13.84365422	1	28	1	2	2	22	2	12
43772.64164	13.96834862	1	29	1	1	2	7	2	13
43786.79224	14.30375256	1	30	1	2	2	23	2	14
43801.2777	14.08053534	1	31	1	1	2	8	2	15
43815.54978	14.15989635	1	32	1	2	2	24	2	16
43829.88794	13.94832424	1	33	1	1	2	9	2	17
43844.01005	14.14435317	1	34	1	2	2	25	2	18
43858.34007	14.08057498	1	35	1	1	2	10	2	19
43872.60539	14.07447676	1	36	1	2	2	26	2	20
43886.85193	13.91399386	1	37	1	1	2	11	2	21
43900.93697	14.12287091	1	38	1	2	2	27	2	22
43915.24334	14.04598431	1	39	1	1	2	12	2	23
43929.46917	13.91033795	1	40	1	2	2	28	2	24
43943.55024	13.86955984	1	41	1	1	2	13	2	25
43957.61563	14.04245603	1	42	1	2	2	29	2	26
43971.84397	14.0096653	1	43	1	1	2	14	2	27
43986.02139	13.8134621	1	44	1	2	2	30	2	28
44000.03085	14.30096664	1	45	1	1	2	15	2	29
44014.50305	14.07538062	1	46	1	2	2	31	2	30
44028.818	14.19715984	1	47	1	1	2	16	2	31
44043.21004	14.12650556	1	48	1	2	2	32	2	32
44057.53991	13.89591859	1	49	1	3	5	33	3	1
44071.60519	14.21535477	1	50	1	3	5	33	3	2
44086.00821	14.11514839	1	51	1	3	5	33	3	3
44100.30562	14.76081959	1	52	1	3	5	33	3	4
44115.24451	14.46756436	1	53	1	3	5	33	3	5
44129.89691	13.674923	1	54	1	3	5	33	3	6
44143.7516	14.25559054	1	55	1	3	5	33	3	7
44158.18948	13.90209514	1	56	1	3	5	33	3	8
44172.2734	13.88908426	1	57	1	3	5	33	3	9
44186.33573	14.02472631	1	58	1	3	5	33	3	10
44200.53482	13.66830718	1	59	1	3	5	33	3	11
44214.3815	13.90611321	1	60	1	3	5	33	3	12
44228.45771	13.83444217	1	61	1	3	5	33	3	13
44242.49001	13.99701014	1	62	1	3	5	33	3	14
